Measure Name,Measure Abbreviation (if provided),Your Name,Timestamp,Reference (APA Style),Measure Details (description),"Year (enter a number such as ""2023""; year refers to year of publication of the paper)",Link to Paper,Link to Measure/Items,Items (copy paste the actual item set),Length (duration in seconds),Length (number of items),Population (2-letter country ISO code),Language (2-letter language ISO code),Validated (any type of validation of the measure),"Objective (i.e., performance test with clear correct and wrong responses, or the mapping of actual behaviour, etc., not self-report)","Specific (i.e., tailored, not a broad measure of resilience but on a specific technique or topic, for example the topic of the intervention in the study)",Online (is the measure administered online),"Long-Term Malleability (is there evidence that the score can change when measured weeks or months later)

Note: if the study did not look at this, please put NA","Short-Term Malleability (is there evidence that the score can change immediately after an intervention, or a couple of days after the initial measure)

Note: if the study did not look at this, please put NA",Skill (see high-level overview of resilience),"Attitudes, Norms, & Beliefs (see high-level overview of resilience)",Knowledge (see high-level overview of resilience),Behavioral Correlate (see high-level overview of resilience),Identity Risk Factor (see high-level overview of resilience),"Stimuli Type (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Origin (see high-level overview of resilience; this refers to how the stimuli was created or collected)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Source (see high-level overview of resilience; this refers to whether the stimuli itself includes any source information, for example if the stimuli is a social media post whether this has been posted or written by an individual and this source information is included in the stimuli)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Characteristics (see high-level overview of resilience)

Note: this may not be relevant for self-report scales, in that case, put NA","Stimuli Platform (see high-level overview of resilience; this refers to the format of the stimuli and what type of platform the stimuli resemble)

Note: this may not be relevant for self-report scales, in that case, put NA",Response Option (see high-level overview of resilience),Component Type (see high-level overview of resilience),Behavior Type (see high-level overview of resilience),Risk Type (see high-level overview of resilience),Any comments?,Link to Original Measure Paper (if the measure used in the paper is based on a measure from a different paper),If this variable is a Key Correlate variable (see intervention scoring sheet); indicate which one,Does paper include a scale/measure?,Language (2-letter language ISO code)
Misinformation Discernment and Dissemination,NA,Christiane,19/07/2023 02:33:20,"Lawson, M. A., & Kakkar, H. (2022). Of pandemics, politics, and personality: The role of conscientiousness and political ideology in the sharing of fake news.","Asked participants to indicate accuracy of fake and/or ""real"" Covid-19 headlines; 4 conservative-leaning, 4 liberal-leaning, and 4 neutral ",2022,https://doi.org/10.1037/xge0001120,https://osf.io/ahdsf/,NA,NA,24,US,en,No,No,Yes,Yes,NA,Yes,No,No,No,No,No,Mixed,Real,NoSource,News_Headline,NA,Scale,DiscVeracity,Sharing,,,NA,NA,Yes,
Misinformation Dissemination,NA,Christiane,19/07/2023 00:35:50,"Buchanan, T., & Kempley, J. (2021). Individual differences in sharing false political information on social media: Direct and indirect effects of cognitive-perceptual schizotypy and psychopathy.",Asked participants to indicate past history of sharing misinformation,2021,https://doi.org/10.1016/j.paid.2021.111071,"(In article, under materials) https://doi.org/10.1016/j.paid.2021.111071","""Have you ever shared a political news story online that you later found out was made up?”, then “And have you ever shared a political news story online that you thought AT THE TIME was made up?”",NA,2,US,en,No,No,Yes,Yes,NA,NA,No,No,No,Yes,No,NA,NA,NA,NA,NA,Binary,NA,Sharing,,,NA,NA,Yes,
Misinformation Susceptibility Test ,MIST,Martina,07/07/2023 04:08:21,"Roozenbeek, J., Maertens, R., Herzog, S. M., Geers, M., Kurvers, R., Sultan, M., & Linden, S. van der. (2022). Susceptibility to misinformation is consistent across question framings and response modes and better explained by myside bias and partisanship than analytical thinking. Judgment and Decision Making, 17(3), 547–573. https://doi.org/10.1017/S1930297500003570",tests misinformation susceptibility across different question framings and response modes based on four key psychological factors ,2023,https://www.cambridge.org/core/journals/judgment-and-decision-making/article/susceptibility-to-misinformation-is-consistent-across-question-framings-and-response-modes-and-better-explained-by-myside-bias-and-partisanship-than-analytical-thinking/1121D46E918815B2CD7A9C6C237464A2,https://osf.io/b9m3k/,NA,NA,20; 8 ,US,EN,Yes,Yes,Yes,Yes,NA,NA,Yes,Yes,No,Yes,No,Text,Mixed,NoSource,News_Headline,NA,Binary,DiscManipulativeness,NewsConsumption,,,https://www.cambridge.org/core/journals/judgment-and-decision-making/article/susceptibility-to-misinformation-is-consistent-across-question-framings-and-response-modes-and-better-explained-by-myside-bias-and-partisanship-than-analytical-thinking/1121D46E918815B2CD7A9C6C237464A2#bib70,Checking Sources,Yes,
Misleading claims discernment,NA,April Hwang,03/06/2023 01:05:00,"Nyhan, B., Porter, E., Reifler, J., & Wood, T. J. (2020). Taking fact-checks literally but not seriously? the effects of journalistic fact-checking on factual beliefs and candidate favorability. Political Behavior, 42(3), 939-960. https://doi.org/10.1007/s11109-019-09528-x",Measured impact of journalistic fact-checking on people's beliefs on Trump's misleading claims and candidate favorability,2020,https://doi.org/10.1007/s11109-019-09528-x,NA,"Crime change, article accurate, article fair, statistics accurate, article bias, crime interpretation",NA,6,US,EN,No,NA,Yes,Yes,NA,Yes,Yes,Yes,Yes,No,Yes,Other,Real,Individuals,Other,NoPlatform,Scale,MediaLiteracy,NA,NA,,NA,Checking Sources,Yes,
Moral approval of disinformation from politicians,NA,Christiane,19/07/2023 00:25:20,"De keersmaecker, J., & Roets, A. (2019). Is there an ideological asymmetry in the moral approval of spreading misinformation by politicians? Personality and Individual Differences, 143, 165–169.","Measured participants moral approval of (study 1) lying by commission behavior, paltering behavior, or lying by omission behavior or (study 2) lying by commission and paltering, as well as (study 2) degree of partisan bias in moral approval",2019,https://doi.org/10.1016/j.paid.2019.02.003,(pg.466) https://doi.org/10.1037/pspi0000081,"Exact wording not provided, but items asked participants to indicate how (1) ethical, (2) honest, (3) moral the politician's actions were ",NA,3,US,en,Yes,No,No,Yes,NA,NA,No,Yes,No,No,No,NA,NA,NA,NA,NA,Scale,Belief,NA,,Study 2 included partisan bias,https://doi.org/10.1037/pspi0000081,Myside Bias,Yes,
myside bias,NA,Martina,05/06/2023 07:45:50,"Sternisko, A., Cichocka, A., Cislak, A., & Van Bavel, J. J. (2023). National Narcissism predicts the Belief in and the Dissemination of Conspiracy Theories During the COVID-19 Pandemic: Evidence From 56 Countries. Personality and Social Psychology Bulletin, 49(1), 48–65. https://doi.org/10.1177/01461672211054947",NA,2021,https://journals.sagepub.com/doi/10.1177/01461672211054947,"https://journals.sagepub.com/doi/10.1177/01461672211054947#bibr29-01461672211054947, https://journals.sagepub.com/doi/10.1177/01461672211054947#bibr54-01461672211054947, https://journals.sagepub.com/doi/10.1177/01461672211054947#bibr61-01461672211054947",NA,NA,1;5,US;UK; multiple,EN,Yes,No,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Yes,Text,NA,Mixed,Mixed,NA,Scale,PerceivedAgreement,RealLife,ThinkingStyle,,https://osf.io/7vjr2/,Myside Bias,Yes,
Myside Bias,NA,Martina,06/06/2023 03:22:21,"Lin, Y., Zhang, Y. C., & Oyserman, D. (2022). Seeing meaning even when none may exist: Collectivism increases belief in empty claims. Journal of Personality and Social Psychology, 122, 351–366. https://doi.org/10.1037/pspa0000280",collectivistic values and belief in astrology,2023,https://psycnet.apa.org/doiLanding?doi=10.1037%2Fpspa0000280,NA,NA,NA,2; 4; 6,"US, CN",NA,NA,No,Yes,Yes,NA,NA,Yes,Yes,NA,Yes,Yes,NA,NA,Mixed,Mixed,NA,Reaction,Belief,RealLife,Identity,,NA,Myside Bias,Yes,
NA,NA,Christiane,10/05/2023 22:36:27,"Bowes, S. M., & Tasimi, A. (2022). Clarifying the relations between intellectual humility and pseudoscience beliefs, conspiratorial ideation, and susceptibility to fake news. Journal of Research in Personality, 98, 104220. https://doi.org/10.1016/j.jrp.2022.104220",Belief in Contradictory Conspiracy Theories,2022,https://doi.org/10.1016/j.jrp.2022.104220,https://doi.org/10.1177/1948550611434786,"One or more rogue “cells” in the British secret service constructed and carried out a plot to kill Diana. 2.	 There was an official campaign by MI6 to assassinate Diana, sanctioned by elements of the establishment. 3.	 Diana faked her own death so that she and Dodi could retreat into isolation. 4.	 Business enemies of Dodi and his father Mohammed Al-Fayed assassinated Dodi, with the death of Diana a cover-up for the operation. 5.	 Diana had to be killed because the British government could not accept that the mother of the future king was involved with a Muslim Arab. AND 1.	 Osama bin Laden was killed in the American raid. 2.	 Osama bin Laden is still alive. 3.	 When the raid took place, Osama bin Laden was already dead. 4.	 The actions of the Obama administration indicate that they are hiding some important or damaging piece of information about the raid.",NA,10,NA,en,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,NA,NA,NA,NA,NA,Scale,Belief,NA,ThinkingStyle,,,,,
NA,NA,April Hwang,31/05/2023 17:26:06,"Lewandowsky, S., Holford, D., & Schmid, P. (2022). Public policy and conspiracies: The case of mandates. Current Opinion in Psychology, 47, 101427-101427. https://doi.org/10.1016/j.copsyc.2022.101427",Review the evidence about whether vaccine mandates can be successful,2022,https://doi.org/10.1016/j.copsyc.2022.101427,,,,,,,,,,,,,,,,,,,,,,,,,,,"This is a paper on effectiveness of vaccine mandate, does not include measurement of misinformation",,,No,
NA,NA,April Hwang,02/06/2023 00:51:45,"Koetke, J., Schumann, K., & Porter, T. (2022). Intellectual humility predicts scrutiny of COVID-19 misinformation. Social Psychological & Personality Science, 13(1), 277-284. https://doi.org/10.1177/1948550620988242",No measure. This article examines whether intellectual humility can predict Intent to engage in investigative behaviors after encountering COVID related news.,2022,https://doi.org/10.1177/1948550620988242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
NA,NA,Martina,05/06/2023 08:05:31,Cognitive security and resilience: A social-ecological model of ... (n.d.). https://romcir2022.disco.unimib.it/wp-content/uploads/sites/132/2022/04/ROMCIR_JanzenOrrTerp_TeamPresentation_2022.04.10.pdf ,NA,2022,https://ceur-ws.org/Vol-3138/paper4_jot.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
NA,NA,Christiane,05/06/2023 14:36:50,"Sedova, K., McNeill, C., Johnson, A., Joshi, A., & Wulkan, I. (2021). AI and the future of disinformation campaigns: Part 2: A threat model. ",NA,2021,https://doi.org/10.51593/2021CA011,,,,,,,,,,,,,,,,,,,,,,,,,,,"Discusses the future use of AI in disinformation campaigns, but not actual studies involving participants ",,,No,
NA,NA,Christiane,18/07/2023 22:35:50,"Gratton, P. (2023). THREAT RESILIENCE IN THE REALM OF MISINFORMATION, DISINFORMATION, AND TRUST. The Journal of Intelligence, Conflict, and Warfare, 5(3), 96–100.",NA - Text is a briefing note,2023,https://journals.lib.sfu.ca/index.php/jicw/article/view/5126/4334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
NA,NA,April Hwang,19/08/2023 01:42:35,"Escolà-Gascón, Á., Dagnall, N., Denovan, A., Drinkwater, K., & Diez-Bosch, M. (2023). Who falls for fake news? psychological and clinical profiling evidence of fake news consumers. Personality and Individual Differences, 200, 111893-111893. https://doi.org/10.1016/j.paid.2022.111893",Participants were separated into two groups (fake news consumers and non-fake news consumers) and character traits of each group was assessed,2023,https://doi.org/10.1016/j.paid.2022.111893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,
NA,NA,Christiane,29/08/2023 22:57:57,"Porter, S., Birt, A. R., Yuille, J. C., & Lehman, D. R. (2000). Negotiating False Memories: Interviewer and Rememberer Characteristics Relate to Memory Distortion.",NA,2000,https://doi.org/10.1111/1467-9280.00297,,,,,,,,,,,,,,,,,,,,,,,,,,,Study is concerning false memories and the misinformation *effect*,,,No,
NA,NA,Christiane,29/08/2023 22:59:04,"Bailey, N. A., Olaguez, A. P., Klemfuss, J. Z., & Loftus, E. F. (2021). Tactics for increasing resistance to misinformation. ",NA,2021,https://doi.org/10.1002/acp.3812,,,,,,,,,,,,,,,,,,,,,,,,,,,Looking at misinformation *effect* and memories,,,No,
NA,NA,Christiane,29/08/2023 23:53:10,"Doughty, N., Paterson, H. M., MacCann, C., & Monds, L. A. (2017). Personality and memory conformity.",NA,2017,https://doi.org/10.1027/1614-0001/a000217,,,,,,,,,,,,,,,,,,,,,,,,,,,Misinformation *effect* and memory,,,No,
NA,NA,Christiane,29/08/2023 23:54:30,"Baron, J. (2019). Actively open-minded thinking in politics. Cognition, 188, 8-18.2019",NA,2019,https://doi.org/10.1016/j.cognition.2018.10.004,,,,,,,,,,,,,,,,,,,,,,,,,,,- Lit review + two reports of preliminary studies looking at AOT in judging other’s thinking (not misinformation),,,No,
NA,NA,Christiane,29/08/2023 23:55:26,"Anglada-Tort, M., Baker, T., & Müllensiefen, D. (2019). False memories in music listening: Exploring the misinformation effect and individual difference factors in auditory memory",NA,2019,https://doi.org/10.1080/09658211.2018.1545858,,,,,,,,,,,,,,,,,,,,,,,,,,,Misinformation *effect* and false auditory memories,,,No,
NA - Research review/Meta-Analysis,NA,Christiane,18/07/2023 23:49:28,"Meza-Gómez P., García-Tejada J. E., Mamani-Calcina, J., Vera-Vasquez, C. G., Mamani-Berrios, N. & Ortiz-Esparza M. A. (2022). Disinformation in social networks: A systematic review on fake news in times of pandemic","Meta-Analysis of 30 articles; ""review existing research on fake news in the last 2 years, discussing the characteristics of infodemics, media/digital literacy and its impact on society, as well as highlighting mechanisms to detect and curb fake news on covid-19 in social networks""",2022,https://ceur-ws.org/Vol-3353/paper12.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,"No scale or measure as it's a review, however, examined important correlates such as media literacy, delivery of public health messages, and information contexts",,,No,
"NA – this is a theoretical paper, introducint the social ecological model of disinformation / cognitive security (SEM) ","NA – this is a theoretical paper, introducint the social ecological model of disinformation / cognitive security (SEM)",Fritz,10/05/2023 01:17:21,"Janzen S., Orr, C. & Terp, S.J., (2022). Cognitive security and resilience: A social ecological model of disinformation and other harms with applications to COVID-19 vaccine information behaviors","NA – this is a theoretical paper, introducint the social ecological model of disinformation / cognitive security (SEM)",2022,https://ceur-ws.org/Vol-3138/paper4_jot.pdf,"NA – this is a theoretical paper, introducint the social ecological model of disinformation / cognitive security (SEM)","NA – this is a theoretical paper, introducint the social ecological model of disinformation / cognitive security (SEM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Other,Other,NA,NA,Other,Other,Other,NA,NA,"This paper made me realize that we should have an initial filter question (after providing the technical details such as link, year, and reference) where we can indicate that this is a non-empirical paper. In that case none of the other questions matter any more and we can save a lot of time typing in ""NA""s. Relatedly, papers like this make me question the need / utility / benefit of forced-choice responses.",,,,
Need for Chaos,NfCh,Christiane,19/07/2023 01:16:05,"Newman, D., Lewandowsky, S., & Mayo, R. (2022). Believing in nothing and believing in everything: The underlying cognitive paradox of anti-COVID-19 vaccine attitudes. Personality and Individual Differences, 189, 111522.",measures individuals' wishes to unleash chaos and “burn down” the established political order in hopes of gaining status,2022,https://doi.org/10.1016/j.paid.2022.111522,(Under Need_for_Chaos) https://osf.io/25ezv,"”I get a kick when natural disasters strike in foreign countries.”  “Our social institutions are rotten to the core.”  “I fantasize about a natural disaster wiping out most of humanity such that a small group of people can start all over.”  “I think society should be burned to the ground.”  “When I think about our political and social institutions, I cannot help thinking ""just let them all burn"".  “We cannot fix the problems in our social institutions, we need to tear them down and start over. “  “We need to tear down the current political institutions and start all over.”  “I prepare for a time when the military, police and the state no longer can protect me.”  “I need chaos around me - it is too boring if nothing is going on.”  “Sometimes I just feel like destroying beautiful things.”  “There is no right and wrong in the world.” ",NA,11,US,en,Yes,No,No,Yes,NA,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,Scale,NA,NA,,,https://doi.org/10.31234/osf.io/6m4ts,NA,Yes,
Need for Chaos,NfCh,Christiane,19/07/2023 02:25:55,"Lawson, M. A., & Kakkar, H. (2022). Of pandemics, politics, and personality: The role of conscientiousness and political ideology in the sharing of fake news.",NA,2022,https://doi.org/10.1037/xge0001120,https://doi.org/10.31234/osf.io/6m4ts,"I get a kick when natural disasters strike in foreign countries. I fantasize about a natural disaster wiping out most of humanity such that a small group of people can start all over. I think society should be burned to the ground. When I think about our political and social institutions, I cannot help thinking “just let them all burn”. We cannot fix the problems in our social institutions, we need to tear them down and start over. I need chaos around me - it is too boring if nothing is going on. Sometimes I just feel like destroying beautiful things. We need to uphold order by doing what is right, not what is wrong (R)*. It’s better to live in a society where there is order and clear rules than one where anything goes (R)*.",NA,8,US,en,Yes,No,No,Yes,NA,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,Scale,NA,NA,,,https://doi.org/10.31234/osf.io/6m4ts,NA,Yes,
NEO Personality Inventory-Revised,NEO-PI-R,Christiane,19/07/2023 01:39:01,"Eisen, M. L., Gomes, D. M., Lorber, W. G., Perez, C. I., & Uchishiba, H. (2013). Using an Individual Differences Approach to Examine Two Distinct Types of Suggestibility Effects. Applied Cognitive Psychology, 27(1), 2–11.",NA,2013,https://doi.org/10.1002/acp.2864,NA,NA,NA,240,US,en,Yes,No,No,No,NA,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,Scale,NA,NA,,Couldn't find NEO-PI-R items that weren't behind a paywall,https://books.google.ca/books?hl=en&lr=&id=sdD41qBTJSUC&oi=fnd&pg=PA179&ots=Xmct9vcV3P&sig=UBQiPoPF0-nhH6c0IRKFVKgMa80&redir_esc=y#v=onepage&q&f=false,NA,Yes,
NEO Personality Inventory-Revised,NEO-PI-R,Christiane,19/07/2023 03:49:48,"Drake, K. E. (2010). The psychology of interrogative suggestibility: A vulnerability during interview. Personality and Individual Differences, 49(7), 683–688.",Examining relationship between neuroticism and interrogative suggestibility (including misinformation acceptance) ,2010,https://doi.org/10.1016/j.paid.2010.06.005,NA,NA,NA,240,UK,en,Yes,No,No,No,NA,NA,No,No,No,No,Yes,NA,NA,NA,NA,NA,Scale,NA,NA,,Could not access items (behind paywall),https://books.google.ca/books?hl=en&lr=&id=sdD41qBTJSUC&oi=fnd&pg=PA179&ots=Xmct9vcV3P&sig=UBQiPoPF0-nhH6c0IRKFVKgMa80&redir_esc=y#v=onepage&q&f=false,NA,Yes,
Neuroticism scale - Eysenck Personality Questionnaire - Short version,EPQ-N,Christiane,07/06/2023 16:40:59,"Lommen, M. J. J., Engelhard, I. M., & van den Hout, M. A. (2013). Susceptibility to long-term misinformation effect outside of the laboratory.","(In this study) Dutch version of the short EPQ-N scale measuring neuroticism, completed by participants at pre-test ",2013,https://doi.org/10.3402/ejpt.v4i0.19864,https://pdf.sciencedirectassets.com/271782/1-s2.0-S0191886900X01651/1-s2.0-0191886985900261/main.pdf?X-Amz-Security-Token=IQoJb3JpZ2luX2VjEBcaCXVzLWVhc3QtMSJHMEUCIQDY4lQpaU6f5lWYfBQ9fTWQOtlKEFQmqZFMqUyvfgqi1wIgE62hKvHklHOwkrLElteSi8PeF3eUWNDrp0X6aEyRoxIqsgUIYBAFGgwwNTkwMDM1NDY4NjUiDAFvVrLRi8oXxzsNpCqPBaUuPBZEw9ZWxke%2B6eN0gF9ePclOp8%2Br4EOIgIy9TNq3JQrI5%2Bk3cDtkPgqpAlMWILLzoLunyVfpB5az97QRPQmloaaY84rgbNuckUXX8E9tpAlcRTD4pw3qx337LKvnR9icj5K0GGDRI4vLjZAcpZt%2BhjvKPPp%2B1GKr50Pl1vf%2FSiJLI0xVBA9sKFHvBldcPSvgheN5k0SaVV1X2KYcuj%2BancydgYGSu5Bbt9M1bHlF7ibm%2FKk0E9FA%2Bocql%2FEduNzRxaEgdp9nufoCLO%2BN5nCD113FWj5j4EHT23DVt34kqzUngOPVtETH9uXRKoE%2FuNRg4HszBlNTUrTEZtCNMdboRIp8wBOtcJpai0Bn361LgiN7IHFXUY%2FUC%2Fc3GWny0milXuszNTVm1wy1X5Xc6VuwV6QAYaBcd75x4oONSXIcS5JeJWa98cnd2fz4SfPBgErQnWayJg8Jm7VFpNHKba029yiM1ooPXxmOK%2FxdPslgrbDsvuLX5QZl2aAP%2Fe6YE5hvCQqSU1cprKPqB0QnEqWsMTxeL5BkqQCOkTFdWrNIfHwc2aBezaLrx%2F6oUbQnlHP%2BSiwVRHWfKR9B1sZX5LnA8vlm6G%2FAaKVcLbZlTT1tPpuVYsCWV%2F1RnnGsUx%2FbNhcM977VKEZqTuOuKkUmvjhrmFzMxn2%2B2gbNBb0psUu23pkMmBJeGY2nD2vchpmkjSrj50m%2BwGX%2F3KKZv8qXQfmsKn284SeLpBKi1kFqvob7MNVnFr2fLzJUWbQeTt1Sd8DgvqWLOlv1e9mHr5IANHJgic2Odj5eEgPUKCnqRgDYMl3EnrXm9YnPcevmQcZ5AKyJa1jqSx85Tat1RpfoSOtSH6AD5dZGI2z61JyQehQw46yCpAY6sQHvG1IHDOunRW4FDYwQgpb1BjEKsSNQKOqUVor%2ByKqtxcVDz%2BUSSeTb8N7ZfwIG3Ln5%2BjzNUJuPutw5mL0wNjK0fv1HKZmhj4EPeGcV%2FlMX%2BsKfu%2BLnCugBRJa45URXzV9Brookj0E7h83ritJ%2F0JP347GuRvtGiuHEQpvsDVlkWQCypFxrOpDj3vOChLpa9gk4t4HXSuMQr%2BbOKYTScDln28AX0EFxW7sS5JGbjNOoIv4%3D&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Date=20230607T150841Z&X-Amz-SignedHeaders=host&X-Amz-Expires=300&X-Amz-Credential=ASIAQ3PHCVTY6MIPOKCT%2F20230607%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Signature=621769f81890ee7545acd641a38dca7f44f9c4b5754b10c1a02961f473065c77&hash=0f2f93852949479e070b6008829b6dba5e0ab04500b3b0a1957df9014e006dbc&host=68042c943591013ac2b2430a89b270f6af2c76d8dfd086a07176afe7c76c2c61&pii=0191886985900261&tid=spdf-761acbef-708d-4483-b2c0-ae6e6dda8694&sid=72239dbc82e93442cb2b6d323765c0d2dcdbgxrqa&type=client&tsoh=d3d3LnNjaWVuY2VkaXJlY3QuY29t&ua=14095602575801090650&rr=7d39cfd47b900b3d&cc=no,1. Does your mood often go up and down? 2. Do you ever feel ‘just miserable’ for no reason?  3. Do you often worry about things you should not have done or said? 4. Are you an irritable person? 5. Are your feelings easily hurt? 6. Do you often feel ‘fed-up’? 7. Are you often troubled about feelings of guilt? 8. Would you call yourself a nervous person?  9. Are you a worrier? 10. Do you worry about awful things that might happen? 11. Would you call yourself tense or ‘highly-strung’? 12. Do you worry about your health? 13. Do you suffer from sleeplessness? 14. Have you often felt listless and tired for no reason? 15. Do you often feel life is very dull? 16. Do you worry a lot about your looks? 17. Have you ever wished that you were dead? 18. Do you worry too long after an embarrassing experience? 19. Do you suffer from ‘nerves’? 20. Do you often feel lonely? 21. Are you easily hurt when people find fault with you or the work you do? 22. Are you touchy about some things?,NA,22,NL,nl,Yes,No,NA,No,NA,NA,No,Yes,No,No,No,NA,NA,NA,NA,NA,Binary,Affect,NA,NA,,"Original English (this is a manual, I could only find a link to a page about the book, the link in the paper is inaccurate): https://books.google.no/books/about/Manual_of_the_Eysenck_Personality_Questi.html?id=FA3enAEACAAJ&redir_esc=y ; Dutch version used in paper: https://du-scales.arabpsychology.com/wp-content/uploads/instrumenten/504_2_N.pdf",NA,Yes,
News categorisation task,NA,April Hwang,10/07/2023 19:25:50,"Sultan, M., Tump, A. N., Geers, M., Lorenz-Spreen, P., Herzog, S. M., & Kurvers, Ralf H J M. (2022). Time pressure reduces misinformation discrimination ability but does not alter response bias. Scientific Reports, 12(1), 22416-22416. https://doi.org/10.1038/s41598-022-26209-8","Administered 32 news headlines, and six attention checks. For each headline, participants answered three questions (see item list). Participants were allowed to take a self-regulated break after the first 16 headlines. Time pressure was manipulated as a between-subjects factor. In the non-time-pressure treatment (i.e., control), participants could take as long as they liked to respond to the veracity question; in the time-pressure treatment, they had to respond within 6 s or forfeit their bonus payment for that trial. Each participant was exposed to only one of the headline sets, and the two test sets were equally distributed across the time treatments, gender, and political identification.",2022,https://doi.org/10.1038/s41598-022-26209-8,https://doi.org/10.1038/s41598-022-26209-8,"(1) ‘Do you think the above headline is accurate?’ (‘Yes’ or ‘No’; veracity measure; in the following, we refer to these responses as ‘true’ or ‘false’, respectively); (2) ‘How confident are you that your answer is correct?’ (probability scale ranging from 50% to 100% in increments of 10; data not analysed); and (3) ‘Are you familiar with the news headline (have you seen or heard about it before?’; ‘Yes’ or ‘No’; familiarity measure)",96; 96 for time-pressure condition,48; 48,US,EN,Yes,Yes,No,Yes,NA,NA,Yes,No,No,No,No,Mixed,Real,Mixed,News_Headline,Facebook,Binary,DiscManipulativeness,NA,,Response Option was binary for two questions and scale for one question,https://doi.org/10.1038/s41598-022-26209-8,Cognitive Reflection,Yes,
News Consumption,NA,Christiane,05/06/2023 16:39:26,"Calvillo, D. P., Garcia, R. J. B., Bertrand, K., & Mayers, T. A. (2021). Personality factors and self-reported political news consumption predict susceptibility to political fake news.","Participants asked to indicate which sources (out of 45) they obtained political/election news from one week, as well as how many hours per source",2021,https://doi.org/10.1016/j.paid.2021.110666,https://osf.io/e63by?view_only=52a221ab399a416da538e93b9bfb0204,ABCNews AlterNet AmericanSpectator AssociatedPress BBCNews Bloomberg BreitbartNews BuzzFeedNews CBSNews ChristianScienceMonitor CNN DailyBeast DailyMail DemocracyNow Forbes FoxNews HuffPost MotherJones MSNBC NationalReview NBCNews NewYorkPost NewYorkTimes NPROnlineNews Politico Reason Reuters Slate TheAtlantic TheDailyCaller TheDailyWire TheEconomist TheFederalist TheGuardian TheHill TheIntercept TheNewYorker TheBlaze TimeMagazine USAToday Vox WallStreetJournal WashingtonExaminer WashingtonPost WashingtonTimes,NA,45,US,en,No,No,No,Yes,NA,NA,No,No,No,Yes,No,NA,NA,NA,NA,NA,Other,NA,NewsConsumption,NA,,NA,NA,Yes,
News Consumption,NA,Christiane,25/08/2023 22:56:24,"Filkuková, P., Ayton, P., Rand, K., & Langguth, J. (2021). What Should I Trust? Individual Differences in Attitudes to Conflicting Information and Misinformation on COVID-19.",Self-reported hours of weekly news consumption through various mediums,2021,https://doi.org/10.3389/fpsyg.2021.588478,NA,NA,NA,1,NO,no,No,No,Yes,Yes,NA,NA,No,No,No,Yes,No,NA,NA,NA,NA,NA,NA,NA,NewsConsumption,,No item to copy: just a general news consumption prompt,NA,NA,Yes,
News discernment task,NA,April Hwang,01/06/2023 22:06:39,"Lutzke, L., Drummond, C., Slovic, P., & Árvai, J. (2019). Priming critical thinking: Simple interventions limit the influence of fake news about climate change on facebook. Global Environmental Change, 58, 101964. https://doi.org/10.1016/j.gloenvcha.2019.101964","Participants were divided into three groups - control, guideline condition and enhanced guideline condition. Latter two were intervention that primed critical thinking. Participants evaluated accuracy and trustworthiness of six FB news about climate change and asked if they would like or share post.",2019,https://doi.org/10.1016/j.gloenvcha.2019.101964,NA,participants were asked to rate its trustworthiness on a 10-point scale from 1 (not at all trustworthy) to 10 (very trustworthy). Participants also rated each post in terms of perceived accuracy on a 10-point scale from 1 (not at all accurate) to 10 (very accurate). Judged trustworthiness and accuracy were combined to create a single item index variable for trust (Cronbach’s α = 0.93). Participants were also asked to indicate their likelihood of “liking” or “sharing” their assigned post; these responses were collected on 11-point bipolar scales from -5 (definitely not) to 0 (neutral) to +5 (definitely yes). These scales were converted to con- tinuous (1–11) scales for analysis.,NA,6,US,EN,No,Yes,Yes,Yes,NA,Yes,Yes,Yes,No,Yes,No,Text,Real,Organisations,News_Headline,Facebook,Scale,GeneralReasoning,Sharing,NA,"FB post contained both text and image. Participants only evaluated six news headlines and the fake news items were very ""obviously"" fake",NA,Cognitive Reflection,Yes,
